document,tag,content
Redaktørforeningens,Human oversight,be reviewed by humans before publication. Information must be checked against other sources
Ringier,Human oversight,"The results generated by AI tools are always to be critically scrutinized and the information is to be verified, checked and supplemented using the company’s own judgment and expertise."
Roularta,Human oversight,We do not intend to publish editorial content generated in whole or in part by AI without editorial and human supervision
Roularta,Human oversight,We do not intend to exclusively publish AI-generated images or videos without editorial and human oversight.
RTS,Human oversight,ChatGPT and text generation models do not replace human expertise and must be used as complementary tools to the analysis and expertise of professionals.
RTS,Human oversight,"We do not publish any text, even partially processed by AI, without human supervision."
RTS,Human oversight,"RTS does not publish images generated by AI tools (Midjourney, Dall-E, etc.). THE"
RVDJ,Human oversight,Editorial choices play a role in such partially or fully automated processes
STT,Human oversight,"Don’t let the AI decide for you,"
SVT,Human oversight,All direct use of content created using generative AI models to the audience must be approved by the legally responsible publisher
Swiss Press Council,Human oversight,"Journalists and editorial staff are always ultimately responsible for respecting ethical standards for text, images, audio, video and other artificially generated material."
Swiss Press Council,Human oversight,"Texts or text elements produced using AI programs must therefore only be used with full knowledge of the facts and must be strictly checked before their publication, according to the usual journalistic criteria (truthfulness, accuracy, reliability)."
The Guardian,Human oversight,exceptional use must be explicitly approved by the relevant senior duty editor and must be clearly signalled to readers on the article itself.
Usbek & Rica,Human oversight,not to publish any article or text generated by an artificial intelligence tool (even a news brief) without human supervision
Usbek & Rica,Human oversight,"We do, however, reserve the right to quote a few lines generated by such a tool as part, for example, of an article on the performance of artificial intelligence in writing (provided that such an article is written and edited by a Usbek & Rica journalist)."
VG,Human oversight,all use of generative AI must be manually approved before publication.
VG,Human oversight,"VG may, however, use AI to generate illustrations/graphics/modelling. This must be clearly labelled and, until further notice, specifically approved by the editor."
YLE,Human oversight,We understand that artificial intelligence itself is not objective or neutral and that humans are always responsible.
YLE,Human oversight,A human is always responsible.
ANP,Human-machine,"can be inspired by the computer (or by AI) for headlines, backgrounds, story ideas or sources to be accessed, for example. Also - for example - recorded texts can be written out automatically and other support services applied. The number of assistance options is bound to increase further. It is up to editors whether it is relevant and useful whether AI applications are used in editorial or journalistic productions. Simply put: AI is, as it looks, a tool and not a substitute."
ANP,Human-machine,human>machine>human
De Volksrant,Human-machine,"artificial intelligence (AI) as a tool, never as a system that can replace the work of a journalist"
De Volksrant,Human-machine,"That said, artificial intelligence can serve as a tool for final editing, research and as a tool. For example, to transcribe audio recordings of an interview, to have texts translated or to have stories narrated by synthetic voices so that readers can listen to them."
Der Spiegel,Human-machine,"The principles of transparency and openness, coupled with an awareness of the responsibility associated with the use of artificial intelligence and mutual learning, also apply to collaboration between major tech platforms and media across the digital ecosystem."
Financial Times,Human-machine,"It is important and necessary for the FT to have a team in the newsroom that can experiment responsibly with AI tools to assist journalists in tasks such as mining data, analysing text and images and translation"
France Info,Human-machine,"Generally, this is software that is there to assist our journalists, our editorial teams in the detection and “sourcing” of information, in the exploration of very large databases, and in the automatic transcription of audio. ."
Groupe Les Echos-Le Parisien,Human-machine,"We reserve the right to use the IAG as a tool for enrichment, research or synthesis to help and nourish the work of journalists."
Groupe Les Echos-Le Parisien,Human-machine,"For example, a journalist can use these tools as he would with a search engine, but he will always have to go back to his own sources to guarantee the origin of his information."
Heidi.news,Human-machine,"Editorial staff may use AI to facilitate or improve their work, but human intelligence remains at the heart of all our editorial production. No content will be published without prior human supervision."
Le Figaro,Human-machine,"Journalists will be able to use this technology in their preparatory work (synthesis of documents and databases, assistance with translation, etc.), before writing their articles. It can also help with layout or spelling correction, and can speed up the process of subtitling videos, or even their translation into other languages. But the group undertakes not to automate these processes."
Le Monde,Human-machine,"several dozen articles produced by the editorial staff and translated into English. Each of these articles is subject to translation in three stages: the first “layer” of translation is carried out by the DeepL automatic translation software, the second by a professional translator (human!), the third by a English-speaking journalist."
Mediahuis,Human-machine,AI should enhance journalism and support our work.
Mediahuis,Human-machine,Human in the loop
Ringier,Human-machine,responsible interaction between humans and machines
RTS,Human-machine,"Our use of artificial intelligence is not intended to produce content fully automated. Its aim is to strengthen the capacities of professionals enabling them to work more efficiently, so they can spend more time"
RTS,Human-machine,ChatGPT and text generation models do not replace human expertise and must be used as complementary tools to the analysis and expertise of professionals.
STT,Human-machine,"Don’t let the AI decide for you,"
TV2,Human-machine,"TV 2 Danmark A/S wants to utilise any technology that can support, develop and improve our publishing work."
AJP,Inclusivity,Journalists are careful not to disseminate stereotypes and comments contrary to anti-discrimination legislation that AI is likely to reproduce.
Der Spiegel,Inclusivity,"The principles of transparency and openness, coupled with an awareness of the responsibility associated with the use of artificial intelligence and mutual learning, also apply to collaboration between major tech platforms and media across the digital ecosystem."
Der Spiegel,Inclusivity,"And through dialogue and collaboration between technology companies and publishers, we can create an information landscape based on trust, quality and ethics."
CDJM France,Literacy,learn about new AI tools in order to assess their benefits and limitations Restoring reality for an audience also involves mastering the tools used to do so.
DJV,Literacy,"The use of artificial intelligence must become an integral part of the training and further education of journalists. Media companies are called upon to create corresponding offers. In addition to the use of artificial intelligence and the resulting possibilities (e.g. when using it for research), the content of these training courses must also be to raise awareness of the misuse of artificial intelligence (e.g. for the creation of deepfakes) and to create possibilities for its discovery in everyday journalistic work."
Mediahuis,Literacy,Invest in newsroom awareness and communication about acceptable AI practices.”
STT,Literacy,Journalists need to understand AI both as a news topic and as a tool for news work.
STT,Literacy,"It is therefore worth experimenting, asking questions and increasing understanding."
AJP,Misleading content,"The alteration of photos, videos or sounds modifying the initial meaning of information is prohibited. The use of images (photographs, press cartoons, animated images) generated by AI should also be prohibited, unless they are the subject of a news article."
CDJM France,Misleading content,any imperfections due to automation must never significantly alter the information delivered.
CDJM France,Misleading content,"a visible mark should indicate this throughout the shot, similar to the “hidden camera”, “discreet camera” or “reconstruction” references often used in television"
Dagbladet,Misleading content,"Dagbladet shall not use AI to create photorealistic images or video. If Dagbladet exceptionally uses AI-generated images, they must not be confused with real photographs or videos"
Dagens Næringsliv,Misleading content,"protects the credibility of journalistic photography, and does not manipulate images with artificial intelligence or other technology."
Dagens Næringsliv,Misleading content,"do not publish AI-generated images, or video, that could be mistaken for real photography."
De Volksrant,Misleading content,"In everything the Volkskrant makes, there should be no misunderstanding about what is real and what is true and what is not."
Heidi.news,Misleading content,"The editors limit themselves to using synthetic images for illustrative purposes, not for information, so as not to confuse real-world events."
Heidi.news,Misleading content,"Heidi.news will not publish synthetic images that could be mistaken for photographs, except for educational purposes, when the image in question is already public."
Redaktørforeningens,Misleading content,"Be particularly cautious about publishing generated images that may be confused with real images of people, situations and events"
Swiss Press Council,Misleading content,"The images, sounds or videos thus produced must never mislead or cause confusion because of their resemblance to reality."
VG,Misleading content,"VG shall avoid using AI to enhance/edit photographs and video, beyond traditional image processing and cropping."
The Guardian,Plagiarism,"Material created using generative AI raises significant issues around bias, ownership, plagiarism and intellectual property rights"
Aftonbladet,Privacy,protect source protection and do not feed external platforms such as ChatGPT with sensitive or proprietary information
AJP,Privacy,No confidential or potentially confidential data and no information protected by source secrecy may be transmitted to an AI
AJP,Privacy,"the use and development of AI in the journalistic sector must be dominated by the key values of journalistic ethics: truthfulness, accuracy, fairness, impartiality, independence, non-harm, non-discrimination, accountability, respect for privacy and confidentiality of sources."
Blick,Privacy,"lick ensures that no copyrights, personal rights, data protection regulations, confidentiality obligations or other rights and laws are violated."
Dagbladet,Privacy,Content to be shared must be ready for publication and not contain sensitive information or information that requires source protection.
Dagbladet,Privacy,"Privacy and protection of sources must also be safeguarded when dealing with AI services. Therefore, as a general rule, sensitive personal data or source information must not be shared."
Dagens Næringsliv,Privacy,protect source protection and do not share sensitive material or personal information.
Der Spiegel,Privacy,We do not copy sensitive personal or company data into AI systems that have not undergone data protection and security checks.
DJV,Privacy,"n addition, users should have the possibility to find out which data was collected and used for the generation and/or distribution by means of artificial intelligence."
DJV,Privacy,Personalisation of content by means of artificial intelligence in such a way that users are shown content tailored to their interests and usage behaviour must always be carried out in a responsible and balanced manner. Filter bubbles should be avoided.
Impress,Privacy,Publishers should prominently label content that has been recommended to people by automated systems based on their individual behaviour and data and provide
Mediafin,Privacy,"WE ALWAYS RESPECT PRIVACY, SECURITY AND COPYRIGHT"
Mediahuis,Privacy,Prioritize data privacy and security when using AI applications.
Mediahuis,Privacy,Explain how personal data is used in AI applications and empower readers to control it.
Ringier,Privacy,"Our employees are not permitted to enter confidential information, trade secrets or personal data of journalistic sources, employees, customers or business partners or other natural persons into an AI tool."
SVT,Privacy,No confidential or proprietary information should be shared in external AI services via prompts (instructions).
Swiss Press Council,Privacy,"No confidential, personal or otherwise sensitive data should be introduced into AI programs without full control over the subsequent use of the data. It should be checked whether the use of personal data provided by AI programs is permitted."
Usbek & Rica,Privacy,"- not to publish images generated by artificial intelligence tools featuring identifiable human beings, whether living or dead. In other words, in the context of the generation of an image by an AI, we undertake not to write a prompt containing the name of a “real” person (all the more so if that person is famous), such as “Mel Gibson"
VG,Privacy,"Source information, personal data or sensitive information should not be shared with AI services without authorisation from the head of department, editor or security manager."
YLE,Privacy,We protect people’s personal privacy and data.
Aftonbladet,Responsibility,"Aftonbladet is responsible for everything we publish on the site, including material that is produced using, or based on, AI or other technology."
AJP,Responsibility,"Journalists are responsible for the content they publish, but final responsibility lies with the editor-in-chief."
BBC,Responsibility,"Accountability: We will make sure that there is proper supervision of and clear accountability for our use of AI, including our use of content or services provided by others that involve AI."
Blick,Responsibility,Blick takes full responsibility for all published content â€“ regardless of whether it was created by a human or an AI.
CDJM France,Responsibility,"hey must remain under the direct responsibility of publishers and journalists, and be explicitly indicated to their audience"
Der Spiegel,Responsibility,"The trust of our users in our journalism is our most important asset. As with any technology we use, we are responsible for all of our content."
Der Spiegel,Responsibility,"The principles of transparency and openness, coupled with an awareness of the responsibility associated with the use of artificial intelligence and mutual learning, also apply to collaboration between major tech platforms and media across the digital ecosystem."
DJV,Responsibility,Credibility is and remains the most important prerequisite for journalism; it can only be maintained if people bear the ultimate responsibility for the selection and presentation of content.
DJV,Responsibility,Publication of automated or AI-generated articles without the participation or effective intervention of human journalists must not take place
DPA,Responsibility,responsibility for all AI-generated content always lies with a human being.
Financial Times,Responsibility,"FT have a greater responsibility to be transparent, to report the facts and to pursue the truth"
Impress,Responsibility,they are responsible for the content where it has been produced
Mediafin,Responsibility,"guaranteeing transparency, human intervention and responsibility in their journalistic practice."
Mediafin,Responsibility,"The journalist and the editor-in-chief remain entirely responsible for the accuracy of the information published. Nothing appears without having been read, reread and validated by a journalist and an editor."
Mediafin,Responsibility,Reliability is at the heart of our editorial promise. The principles of cross-checking and double-checking remain the foundation of information collection.
Redaktørforeningens,Responsibility,"The editor has full personal responsibility, legally and ethically, for everything that is published, including generated content"
RVDJ,Responsibility,Editorial choices play a role in such partially or fully automated processes
RVDJ,Responsibility,"The editors are responsible for these editorial choices, with final responsibility resting with the chief editors."
Swiss Press Council,Responsibility,"Journalists and editorial staff are always ultimately responsible for respecting ethical standards for text, images, audio, video and other artificially generated material."
YLE,Responsibility,A human is always responsible.
AJP,Risks identification,"This is the result of algorithms which are not neutral, lack nuance, creativity and emotion and whose goal is not the search for truth but to summarize other content. Any content produced by generative AI must be treated as an unverified source of information."
ANP,Risks identification,"Al texts may look promising as much as they may contain errors Challucinations, and reaffirm biases (bis’)."
CDJM France,Risks identification,"Because the potential and real risks of these services are still poorly understood, they are arousing the enthusiasm of the optimists as much as the fear of the pessimists."
CDJM France,Risks identification,"following the example of the European Union institutions, according to the degree of risk they represent in terms of compliance with professional ethics"
Dagens Næringsliv,Risks identification,Text and image generators are useful tools for actors who want to spread fake news and disinformation
De Volksrant,Risks identification,"Generative AI too often contains errors (‘hallucinations’) or biases (‘bias’), and it is usually unknown what data the systems were trained with. Therefore, the reliability of sources on which the system is trained cannot be verified."
Der Spiegel,Risks identification,We use testing mechanisms and approvals to ensure in particular that the so-called “hallucinations” of generative AI are not published.
Der Spiegel,Risks identification,"Due to the high pace of AI development, it is impossible to conclusively assess all the opportunities and risks today."
Der Spiegel,Risks identification,"to identify opportunities and risks early through joint experimentation,"
Financial Times,Risks identification,"However, while they appear to be very articulate and plausible, AI models on the market today are ultimately a prediction engine and they are learning from the past. They can fabricate facts — this is what is referred to as “hallucinations” — and make up references and links. If sufficiently manipulated, AI models can produce entirely false images and articles. They also replicate the existing societal perspectives, including historic biases."
Financial Times,Risks identification,caution over the risk of misinformation and the corruption of the truth
Impress,Risks identification,"The publisher should: (a) be aware of the use of artificial intelligence (AI) and other technology to create and circulate false content (for example, deepfakes), and exercise human editorial oversight to reduce the risk of publishing such content;"
Keystone - ATS,Risks identification,"is aware of the specific challenges, particularly with regard to ethical and legal issues."
Mediafin,Risks identification,"We are also aware of the pitfalls and risks that this technology represents. This is why we have established a charter that frames our approach to AI, giving priority to transparency, human control and strict compliance with journalistic ethics."
Mediahuis,Risks identification,Watch out for biases in AI systems and work to address them.
Nordic Journalism Network,Risks identification,"It risks becoming a cumbersome process given where we are in AI development. New tools and use cases will emerge along the way, and a visual standard risks quickly becoming irrelevant."
Redaktørforeningens,Risks identification,"Artificial intelligence are language models, not independent sources, and are not capable of fact-checking themselves."
Redaktørforeningens,Risks identification,Be aware that you may otherwise jeopardise source protection or other considerations
Roularta,Risks identification,"This technological development offers many opportunities and raises many ethical questions, particularly regarding its use in journalism. It therefore seems necessary to us to define as precisely as possible the framework within which these technologies must or must not be used within the Roularta Media Group editorial offices"
Roularta,Risks identification,"As with all editorial content, we want to guard against any risk of error or copyright infringement."
RTS,Risks identification,generators on the market pose serious ethical problems both in terms of issues related to bias and copyright.
STT,Risks identification,"The ChatGPT homepage warns that the tool may occasionally produce incorrect information. In fact, I say that it may occasionally produce inaccurate data."
STT,Risks identification,"Due to errors, STT does not use AI for data mining. The sources used by AI are often obscure, making it problematic to use in editorial work"
SVT,Risks identification,"risks – in terms of editorial, legality, and security –"
SVT,Risks identification,"We should be vigilant about AI-generated content published or disseminated by other parties, such as “deepfakes” (i.e., AI-manipulated content) intended to mislead or spread disinformation."
SVT,Risks identification,"We should be aware that bias/prejudice may be inherent in the models, and editorial/legal considerations may be needed regarding objectivity and impartiality, regardless of the stage of the production process in which generative AI is used."
The Guardian,Risks identification,"Material created using generative AI raises significant issues around bias, ownership, plagiarism and intellectual property rights"
The Guardian,Risks identification,"it is not reliable or consistent, and tends to introduce errors and inaccuracies in unpredictable ways."
TV2,Risks identification,The technology must never compromise or undermine our credibility.
YLE,Risks identification,We understand that artificial intelligence itself is not objective or neutral and that humans are always responsible.
